id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1011	1031	0.5453210515707432	0.029219949403491857	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1071	1090	0.47182607549410704	0.03462654200987178	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_1	1011	1032	0.8411934977808038	0.01707007904736765	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_1	1022	1047	1.2736043862848019	0.049169813227469265	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_1	1070	1091	0.6166123283972107	0.04541140376261132	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_2	1011	1032	0.7800225463634342	0.014200992134220419	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_2	1025	1048	1.1558171810205162	0.01747702848972471	MAFB_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_2	1070	1091	0.6289537000235383	0.02968100988879572	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_3	1000	1015	0.31289723186462526	0.04131005876490141	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_3	1011	1032	0.6425590198264326	0.00994361472140308	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_3	1025	1048	1.0697556232076009	0.04772741396798212	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_3	1065	1079	0.4521342687959695	0.044515075888271013	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_3	1070	1090	0.6357120111292747	0.01810388798182168	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_4	1011	1032	0.6208339135153508	0.011093458820881643	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_4	1026	1048	1.0830730253374183	0.00043153417611603475	MAFB_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_4	1038	1053	0.564718925391114	0.021138507982676843	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_4	1053	1067	0.2006414173944897	0.0427726281767775	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_4	1070	1090	0.579650773469186	0.030304660452389165	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_5	1011	1032	0.9508140616451833	0.02278705772211966	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_5	1022	1045	1.158153906122322	0.04255944161374056	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_5	1053	1067	0.2688028630524375	0.032571566654286635	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-4_5	1070	1090	0.5217718928221351	0.04541140376261132	FOXA2_HUMAN.H11MO.0.A
