id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-984_flanks-10_1	973	1000	2.1506061049074523	0.015316665083937512	0.2964234689601986	2.1506061049074523	addition	HNF1B_MA0153.2
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-984_flanks-10_1	1015	1031	0.46563578634121283	0.024365531387032537	0.06417975599730377	-0.02263429858170196	decrease	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-984_flanks-10_1	1072	1086				-0.3618169849518855	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-984_flanks-10_1	982	999	0.5067636936042075	0.04685294017409487	0.08344493837927396	0.5067636936042075	addition	HNF1B_MA0153.2
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-984_flanks-10_1	1012	1031	0.6511063472506875	0.0301169961757935	0.10721274967089843	0.1628362623277727	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-984_flanks-10_1	1072	1086	0.4194538943361379	0.04547269020124554	0.06906829515920734	0.057636909384252366	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-984_flanks-10_1	974	1003	1.959370569026268	0.014122551554070743	0.2558065155699654	1.959370569026268	addition	HNF1B_MA0153.2
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-984_flanks-10_1	1011	1032	0.8318620178141032	0.034119247355244554	0.10860412398547843	0.3435919328911884	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-984_flanks-10_1	1072	1086	0.398808342542635	0.04735989166326282	0.052066604499813214	0.03699135759074945	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-984_flanks-10_1	974	1003	2.4605434722853565	0.03597025625714792	0.31880014753515984	2.4605434722853565	addition	HNF1B_MA0153.2
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-984_flanks-10_1	1012	1031	0.6017812168171335	0.04547269020124554	0.07796974240288529	0.11351113189421869	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-984_flanks-10_1	1072	1086	0.4024313414085121	0.0441646554858952	0.05214098936225873	0.04061435645662659	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-984_flanks-10_1	974	1002	1.9497763603384686	0.007790121546800274	0.28776903632257134	1.9497763603384686	addition	HNF1B_MA0153.2
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-984_flanks-10_1	1013	1027	0.4044221767014604	0.0194806558936266	0.05968898917035444	-0.08384790822145438	decrease	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-984_flanks-10_1	1072	1086				-0.3618169849518855	removal	FOXA2_HUMAN.H11MO.0.A
